Pais;Codigo;Periodo;Muertes Totales;Combustibles Solidos;Particulas;Ozono
Algeria;DZA;2013;4,500,178,358,326,640;3,586,181,513,791,960;4,306,906,240,063,600;2,102,192,439,833,150
Algeria;DZA;2014;44,781,955,990,100,600;3,113,011,040,937,600;4,291,241,271,192,840;20,899,508,100,725,800
Algeria;DZA;2015;44,362,523,963,093,600;2,676,574,003,755,670;425,478,142,290,423;2,076,489,100,658,930
Algeria;DZA;2016;4,453,909,370,257,640;2,181,295,663,495,410;4,280,303,697,282,770;20,588,610,250,304,200
Algeria;DZA;2017;4,368,351,172,616,020;1,917,665,033,763,000;4,197,623,322,800,330;2,052,063,536,260,600
American Samoa;ASM;1990;7,402,356,513,098,530;4,580,895,115,266,720;28,203,884,685,573,700;13,828,827,646,225,000
American Samoa;ASM;1991;7,395,155,446,889,330;45,035,081,459,551,100;2,890,597,486,859,390;13,516,351,021,358,500
American Samoa;ASM;1992;7,389,155,312,019,620;4,440,527,459,722,120;29,476,033,561,947,100;13,150,559,254,072,200
American Samoa;ASM;1993;7,318,821,518,005,200;4,300,020,221,243,320;30,178,090,496,682,100;12,700,173,419,370,000
American Samoa;ASM;1994;7,290,169,810,234,180;4,210,071,376,315,760;30,791,332,530,960,700;12,312,781,040,646,700
American Samoa;ASM;1995;724,402,677,155,759;4,116,538,815,536,370;31,265,478,011,823,500;11,961,228,956,115,100
American Samoa;ASM;1996;7,249,359,463,037,100;40,039,615,102,391,900;32,444,888,434,355,000;11,555,959,235,525,500
American Samoa;ASM;1997;7,337,053,116,192,550;3,891,420,844,417,320;3,444,769,363,329,810;1,099,269,110,092,740
American Samoa;ASM;1998;7,397,106,223,138,510;3,758,479,062,350,940;3,637,840,974,576,740;1,008,408,125,675,380
American Samoa;ASM;1999;7,478,945,461,502,430;3,648,840,568,204,910;3,829,392,939,795,310;9,177,935,122,541,560
American Samoa;ASM;2000;7,510,827,220,266,740;3,566,458,739,695,040;3,943,711,539,843,600;851,103,303,319,108
American Samoa;ASM;2001;7,483,177,729,487,120;3,500,387,522,976,650;3,982,167,808,306,940;8,027,857,429,026,530
American Samoa;ASM;2002;745,910,796,082,754;34,105,274,901,366,600;40,480,036,346,185,100;7,407,655,560,471,020
American Samoa;ASM;2003;7,446,649,939,630,690;33,295,368,351,171,400;41,165,991,018,735,400;6,575,617,585,012,540
American Samoa;ASM;2004;7,422,403,764,805,890;32,571,940,260,535,600;41,647,570,855,112,800;5,748,356,273,596,180
American Samoa;ASM;2005;7,350,843,895,056,700;31,466,508,438,695,600;4,203,793,793,092,780;5,055,145,732,258,110
American Samoa;ASM;2006;7,237,379,471,767,990;30,353,785,533,323,700;4,201,654,460,404,890;4,400,896,365,493,660
American Samoa;ASM;2007;7,172,713,803,000,040;29,418,637,027,931,600;4,230,566,209,145,020;36,214,017,223,386,400
American Samoa;ASM;2008;7,073,704,502,765,550;28,481,496,481,833,000;4,225,332,994,226,210;28,462,078,517,638,300
American Samoa;ASM;2009;7,009,403,436,674,980;2,759,257,897,222,810;42,499,721,196,668,900;22,326,815,613,694,700
American Samoa;ASM;2010;6,860,827,551,361,610;26,228,298,406,437,600;4,237,852,559,543,530;18,779,757,005,818,600
American Samoa;ASM;2011;6,806,073,932,247,870;24,904,122,333,655,600;4,315,529,707,454,340;17,118,543,497,561,300
American Samoa;ASM;2012;653,368,722,838,597;24,010,552,591,971,600;4,132,509,173,404,630;15,779,291,476,017,300
American Samoa;ASM;2013;63,716,346,651,421,600;23,096,805,154,034,700;4,061,838,047,574,950;14,870,753,964,399,500
American Samoa;ASM;2014;61,369,243,227,387,300;221,976,395,146,022;39,170,491,367,098,500;14,168,572,935,606,100
American Samoa;ASM;2015;60,795,990,839,241,400;21,568,465,661,702,100;392,264,299,015,515;13,912,358,087,520,500
American Samoa;ASM;2016;59,261,059,419,992,300;2,097,668,624,161,860;3,828,327,930,700,600;13,838,881,654,813,200
American Samoa;ASM;2017;5,893,948,536,624,940;2,031,779,721,842,960;3,862,055,627,532,830;14,346,329,923,629,300
Andean Latin America;;1990;797,630,451,625,245;55,552,438,004,862,400;23,447,203,584,462,700;11,393,478,717,044,900
Andean Latin America;;1991;7,638,198,767,344,560;5,193,675,783,864,150;23,684,478,043,715,700;11,261,165,698,179,400
Andean Latin America;;1992;770,688,757,194,451;5,125,870,681,029,860;25,030,109,935,298,400;11,486,817,520,705,500
Andean Latin America;;1993;7,567,392,879,222,770;49,271,574,127,126,500;25,617,765,790,056,400;11,501,868,782,695,100
Andean Latin America;;1994;7,243,515,018,415,520;4,593,979,675,767,240;257,242,513,712,653;1,123,560,902,667,420
Andean Latin America;;1995;7,049,918,084,153,440;4,362,617,150,880,930;26,107,971,514,250,900;11,085,576,451,434,600
Andean Latin America;;1996;6,732,598,416,280,690;40,294,476,676,233,000;2,627,622,416,494,080;10,870,861,014,981,500
Andean Latin America;;1997;6,448,889,176,063,880;376,174,092,538,211;26,124,696,648,137,700;1,070,723,845,154,040
Andean Latin America;;1998;6,230,727,632,640,350;35,067,427,146,968,200;2,649,423,878,283,240;10,624,691,632,228,500
Andean Latin America;;1999;5,829,741,464,482,290;31,802,344,652,951,600;25,765,271,873,957,700;10,337,641,512,187,100
Andean Latin America;;2000;5,564,458,060,790,620;2,959,169,932,128,730;2,533,812,483,568,030;10,080,158,484,567,500
Andean Latin America;;2001;5,269,666,363,295,710;27,218,822,900,711,600;24,784,907,308,104,100;9,766,927,921,561,000
Andean Latin America;;2002;523,772,010,223,668;2,590,750,113,701,720;25,773,659,151,860,200;9,789,369,783,849,860
Andean Latin America;;2003;52,559,936,146,835,700;25,091,247,254,339,500;26,767,046,956,610,300;9,856,395,508,997,080
Andean Latin America;;2004;5,153,478,164,516,000;23,797,203,533,566,700;27,039,222,579,017,100;9,788,103,867,218,200
Andean Latin America;;2005;4,999,945,473,036,650;22,376,484,086,398,600;2,693,159,875,897,330;9,647,252,710,684,350
Andean Latin America;;2006;47,947,969,802,975,200;20,621,186,797,871,400;26,658,454,665,200,000;9,306,320,560,157,920
Andean Latin America;;2007;4,665,276,471,153,310;1,931,293,017,975,850;26,683,654,358,703,000;9,117,845,324,192,160
Andean Latin America;;2008;46,139,718,486,938,600;18,511,773,020,491,800;26,975,392,913,102,000;9,042,460,520,172,060
Andean Latin America;;2009;46,451,174,816,766,700;18,229,608,841,186,700;27,561,262,512,206,000;912,541,125,094,134
Andean Latin America;;2010;45,502,949,794,887,500;17,299,713,712,278,700;2,754,142,537,526,500;9,096,925,179,580,470
Andean Latin America;;2011;4,372,550,862,147,000;16,084,954,697,422,900;26,985,868,472,420,400;894,338,617,505,396
Andean Latin America;;2012;4,187,222,390,997,030;15,037,793,911,573,800;26,184,889,497,752,300;8,820,116,701,289,010
Andean Latin America;;2013;3,959,454,362,607,790;13,871,665,076,944,900;25,084,555,574,135,800;8,601,271,123,667,200
Andean Latin America;;2014;3,671,909,802,616,180;1,285,451,250,780,330;23,238,376,586,292;8,346,259,577,483,700
Andean Latin America;;2015;34,601,461,429,526,000;11,971,974,483,263,900;2,200,957,325,583,520;8,178,948,132,186,250
Andean Latin America;;2016;3,350,749,881,289,070;11,240,373,422,279,500;2,165,237,141,960,390;8,049,204,580,075,510
Andean Latin America;;2017;3,277,592,701,400,280;10,689,057,808,465,900;21,471,817,194,761,200;8,024,045,393,417,910
Andorra;AND;1990;2,902,388,062,025,660;10,047,451,735,791,800;25,338,300,470,305,400;32,530,795,441,870,700
Andorra;AND;1991;286,956,788,863,825;9,175,977,086,052,200;2,509,127,223,274,690;32,597,651,644,035,400
Andorra;AND;1992;2,846,032,113,173,110;8,610,810,016,503,870;24,901,649,492,905,500;32,718,888,854,172,900
Andorra;AND;1993;27,840,871,761,218,900;7,801,719,101,310,150;24,390,971,298,884,800;32,365,129,468,286,700
Andorra;AND;1994;27,223,059,973,099,400;7,083,062,765,002,430;23,876,919,564,332,000;31,957,581,467,862,900
Andorra;AND;1995;26,225,273,650,073,600;6,382,765,264,768,930;23,005,080,772,264,300;31,257,603,064,260,900
Andorra;AND;1996;25,233,599,635,164,300;5,607,463,268,290,020;22,142,360,399,991,000;30,624,198,077,570,700
Andorra;AND;1997;23,977,515,037,258,200;5,054,674,106,178,750;21,004,748,015,491,100;2,979,614,049,521,130
Andorra;AND;1998;2,280,419,545,130,770;46,178,155,186,561,400;1,991,515,749,704,630;29,222,381,984,360,300
Andorra;AND;1999;21,718,645,355,636,700;4,164,838,973,543,340;1,891,345,034,538,360;28,672,218,572,898,600
Andorra;AND;2000;20,914,081,116,845,200;38,465,532,945,150,000;1,816,564,959,005,790;2,832,158,387,032,090
Andorra;AND;2001;2,042,410,425,341,170;3,524,055,148,706,740;17,732,338,952,472,200;2,804,125,407,588,710
Andorra;AND;2002;2,001,989,074,253,960;33,790,681,264,516,500;17,369,053,647,096,100;2,774,735,931,801,980
Andorra;AND;2003;19,812,949,273,001,200;3,071,899,686,274,350;171,929,744,632,533;2,776,577,448,045,490
Andorra;AND;2004;19,757,935,121,871,100;2,899,147,877,421,010;1,714,477,726,497,490;2,790,562,645,166,200
Andorra;AND;2005;1,944,612,086,897,320;26,296,129,250,089,600;16,872,355,129,519,000;27,753,776,395,327,900
Andorra;AND;2006;1,906,047,449,516,120;24,716,032,005,669,500;16,532,095,395,553,900;27,404,822,311,916,800
Andorra;AND;2007;18,790,496,551,350,200;22,863,675,307,470,600;1,629,682,001,389,630;2,720,933,513,085,910
Andorra;AND;2008;1,861,435,837,580,870;22,029,793,955,178,200;1,612,949,979,424,580;2,719,599,096,876,940
Andorra;AND;2009;18,489,391,322,114,100;2,095,304,828,430,680;16,011,808,803,159,900;2,722,224,105,494
Andorra;AND;2010;18,281,500,282,010,900;2,006,350,134,531,960;1,581,466,012,914,060;2,717,710,652,818,060
Andorra;AND;2011;1,838,400,112,404,880;18,635,482,384,209,600;15,954,411,835,528,700;2,699,274,602,868,430
Andorra;AND;2012;1,767,548,718,261,680;18,498,165,330,327,200;15,231,646,779,637,100;26,983,909,534,334,700
Andorra;AND;2013;17,189,341,777,408,600;1,826,631,265,637,220;14,725,543,611,234,400;27,103,977,622,623,700
Andorra;AND;2014;16,315,472,872,363,900;17,998,909,298,695,400;1,383,199,589,778,010;27,109,226,778,003,400
Andorra;AND;2015;16,652,145,832,769,700;17,168,795,776,875,000;1,419,962,499,022,680;270,108,734,734,408
Andorra;AND;2016;15,606,827,403,240,600;1,711,236,193,285,140;13,117,336,852,787,600;27,101,574,305,986,200
Andorra;AND;2017;15,569,478,463,523,900;1,656,641,621,247,400;13,088,531,020,331,300;27,089,442,774,263,000
Angola;AGO;1990;22,450,866,726,028,500;19,392,734,880,542,600;26,259,897,978,907,300;8,512,958,868,266,180
Angola;AGO;1991;22,234,984,566,666,900;1,914,063,912,771,930;26,608,130,638,354,600;848,917,608,322,756
Angola;AGO;1992;21,992,687,439,492,200;18,870,943,399,492,600;268,683,908,126,489;8,466,061,799,517,010
Angola;AGO;1993;21,958,744,175,568,500;18,829,040,738,088,300;2,691,339,500,585,180;850,750,467,714,339
Angola;AGO;1994;2,174,534,408,123,180;18,558,220,723,815,600;27,434,209,225,547,200;8,532,867,180,103,180
Angola;AGO;1995;2,137,287,123,549,380;18,203,014,813,388,100;27,255,352,676,807,000;848,918,497,883,042
Angola;AGO;1996;2,073,777,320,587,850;17,556,335,833,533,600;2,740,763,388,586,850;8,364,739,556,326,440
Angola;AGO;1997;2,022,717,564,385,340;17,002,315,162,351,300;27,831,441,244,207,600;8,320,441,131,375,980
Angola;AGO;1998;20,273,190,309,627,300;16,924,283,888,681,500;2,895,033,965,436,140;8,474,015,476,292,600
Angola;AGO;1999;1,964,918,893,347,810;1,627,313,900,269,210;29,229,745,097,755,300;8,370,562,087,012,620
Angola;AGO;2000;1,912,087,298,548,040;1,575,150,618,697,890;2,916,611,090,425,380;8,284,325,902,864,240
Angola;AGO;2001;18,301,527,099,269,100;14,920,856,091,146,600;2,936,111,673,343,200;8,047,978,442,961,710
Angola;AGO;2002;17,596,043,242,809,800;14,251,798,932,879,800;29,085,958,111,269,700;7,820,982,122,121,170
Angola;AGO;2003;16,993,590,026,948,800;1,361,988,444,162,250;29,409,799,597,888,500;76,701,847,881,506,500
Angola;AGO;2004;16,714,116,165,044,600;13,337,212,112,522,000;29,468,021,349,077,900;7,547,591,768,260,190
Angola;AGO;2005;15,774,187,131,620,000;12,449,249,985,074,600;2,906,115,222,038,940;72,423,940,547,542,100
Angola;AGO;2006;15,062,967,438,910,900;11,699,545,127,288,900;2,952,650,640,079,900;7,014,257,570,093,020
Angola;AGO;2007;1,424,036,055,551,150;1,087,639,137,248,960;29,656,083,083,363,300;671,633,044,105,426
Angola;AGO;2008;13,630,882,621,709,300;10,288,706,442,079,800;29,536,320,565,802,600;6,487,761,539,563,960
Angola;AGO;2009;12,955,745,964,235,800;9,610,158,409,121,000;29,638,829,329,332,700;6,284,587,536,004,530
Angola;AGO;2010;12,346,137,265,879,900;9,012,789,848,874,460;2,958,860,228,473,630;6,085,183,347,463,180
Angola;AGO;2011;11,794,354,500,459,300;8,479,594,977,536,770;29,455,840,362,560,800;5,924,090,486,161,570
Angola;AGO;2012;11,369,839,060,882,100;7,980,136,796,955,110;3,026,949,306,232,030;5,771,542,890,783,970
Angola;AGO;2013;10,986,992,169,074,500;7,529,429,388,427,590;3,104,411,492,611,750;5,596,066,001,438,050
Angola;AGO;2014;10,329,178,466,924,500;7,024,565,928,806,860;29,637,775,860,275,700;5,345,321,873,321,540
Angola;AGO;2015;10,023,948,013,351,200;6,709,831,767,067,810;2,979,255,388,595,290;5,216,857,562,969,120
Angola;AGO;2016;9,712,452,930,796,330;6,441,206,603,232,400;2,940,473,321,343,260;5,111,732,246,429,410
Angola;AGO;2017;9,521,990,919,773,060;6,219,905,798,803,510;2,975,929,262,341,450;5,029,588,393,624,830
Antigua and Barbuda;ATG;1990;4,628,120,635,533,350;6,751,831,371,963,210;395,293,749,833,703;0
Antigua and Barbuda;ATG;1991;45,863,441,963,426,800;6,287,659,244,099,250;3,957,578,271,932,750;0
Antigua and Barbuda;ATG;1992;46,322,183,420,131,700;5,923,758,028,041,390;40,398,425,392,090,300;0
Antigua and Barbuda;ATG;1993;4,676,812,929,132,370;55,934,389,389,403,700;4,117,469,035,238,330;0
Antigua and Barbuda;ATG;1994;4,703,228,701,832,790;5,346,419,369,030,970;41,685,867,649,296,900;0
Antigua and Barbuda;ATG;1995;4,747,547,668,365,300;5,110,754,496,100,390;4,236,472,218,755,260;0
Antigua and Barbuda;ATG;1996;47,499,636,615,906,000;484,485,638,616,784;426,547,802,297,382;0
Antigua and Barbuda;ATG;1997;47,492,600,766,746,900;4,566,463,712,575,170;42,926,137,054,171,800;0
Antigua and Barbuda;ATG;1998;4,648,029,508,435,960;4,289,654,877,230,280;4,219,064,020,712,930;0
Antigua and Barbuda;ATG;1999;4,565,143,180,053,420;4,026,159,974,418,410;4,162,527,182,611,580;0
Antigua and Barbuda;ATG;2000;44,719,574,879,317,900;3,810,658,515,831,220;40,908,916,363,486,700;0
Antigua and Barbuda;ATG;2001;4,452,085,931,375,990;3,530,907,661,504,900;40,989,951,652,255,000;0
Antigua and Barbuda;ATG;2002;43,710,336,987,339,500;33,248,822,615,119,900;4,038,545,472,582,750;0
Antigua and Barbuda;ATG;2003;4,317,540,727,059,850;31,243,174,997,080,200;4,005,108,977,089,040;0
Antigua and Barbuda;ATG;2004;422,140,983,614,837;2,896,660,312,987,910;3,931,743,804,849,570;0
Antigua and Barbuda;ATG;2005;4,143,386,595,919,930;27,273,631,514,779,200;3,870,650,280,772,140;0
Antigua and Barbuda;ATG;2006;40,770,094,747,363,500;25,142,601,626,671,700;382,558,345,846,964;0
Antigua and Barbuda;ATG;2007;39,638,286,814,755,400;22,948,404,671,944,200;3,734,344,634,756,100;0
Antigua and Barbuda;ATG;2008;38,986,341,981,377,600;21,276,555,236,840,600;36,858,686,457,693,500;0
Antigua and Barbuda;ATG;2009;38,169,559,312,189,700;19,959,458,347,990,300;3,617,361,347,739,060;0
Antigua and Barbuda;ATG;2010;3,770,120,804,770,600;19,397,111,389,687,500;3,576,149,690,873,730;0
Antigua and Barbuda;ATG;2011;3,757,475,561,912,590;18,065,060,492,811,200;35,767,965,280,800,200;36,200,337,576,966,400
Antigua and Barbuda;ATG;2012;3,592,164,539,593,000;17,930,825,942,358,900;3,412,748,427,663,420;136,881,187,657,601
Antigua and Barbuda;ATG;2013;3,503,306,983,840,210;1,718,523,743,619,320;33,312,226,774,838,700;2,925,803,301,830,400
Antigua and Barbuda;ATG;2014;3,413,568,665,051,030;16,832,299,026,188,800;3,244,848,328,419,950;49,907,261,399,439,700
Antigua and Barbuda;ATG;2015;3,358,601,961,889,340;15,698,127,348,609,300;3,201,027,160,612,500;7,442,266,220,331,850
Antigua and Barbuda;ATG;2016;3,252,075,794,643,330;15,260,401,558,691,100;30,986,836,824,855,200;9,857,965,181,661,810
Antigua and Barbuda;ATG;2017;3,235,337,087,889,390;14,355,939,832,240,000;30,907,780,657,688,200;12,518,973,320,899,300
Argentina;ARG;1990;4,526,229,280,158,970;13,412,932,883,442,800;3,116,497,597,320,820;8,544,603,900,524,880
Argentina;ARG;1991;45,157,190,206,599,000;13,794,302,722,123,700;30,682,548,818,200,500;854,586,428,423,325
Argentina;ARG;1992;4,570,004,430,232,630;1,334,270,924,011,420;31,649,586,609,207,800;890,325,932,548,429
Argentina;ARG;1993;4,458,503,481,642,710;12,607,254,576,038,800;3,126,102,607,126,620;901,707,461,401,259
Argentina;ARG;1994;4,291,370,421,599,530;11,765,474,089,089,500;30,427,361,079,914,000;9,055,820,451,778,150
Argentina;ARG;1995;4,240,997,892,323,000;113,235,130,927,856;30,322,746,173,489,700;9,559,308,150,567,500
Argentina;ARG;1996;4,319,155,251,966,900;10,866,589,536,003,600;31,520,190,348,345,500;10,092,667,234,463,500
Argentina;ARG;1997;4,401,650,798,233,650;10,643,947,560,942,800;32,493,440,402,409,200;11,028,407,248,716,000
Argentina;ARG;1998;4,480,417,863,672,550;10,373,087,341,715,100;3,348,876,354,767,400;11,807,244,289,894,500
Argentina;ARG;1999;4,539,861,795,310,020;10,258,555,494,446,100;34,145,910,794,321,200;12,429,035,740,734,700
